[KDA DEBUG] SharedStorageSize = 232448 bytes (227.0 KB)
[KDA DEBUG] MaxThreadsPerBlock = 512
[PROBE] MathA NormReady stall: 43031 cycles
[PROBE] Math0/1 norm total: 43097 cycles
[PROBE] MathA NormReady stall: 48154 cycles
[PROBE] Math0/1 norm total: 39640 cycles
[PROBE] MathA NormReady stall: 49903 cycles
[PROBE] Math0/1 norm total: 39505 cycles
[PROBE] MathA NormReady stall: 54876 cycles
[PROBE] Math0/1 norm total: 44865 cycles
[PROBE] Math0/1 norm total: 45285 cycles
[PROBE] MathA NormReady stall: 55912 cycles
[PROBE] Math0/1 norm total: 42022 cycles
[PROBE] MathA NormReady stall: 51796 cycles
[PROBE] Math0/1 norm total: 45311 cycles
[PROBE] MathA NormReady stall: 54548 cycles
[PROBE] Math0/1 norm total: 42937 cycles
[PROBE] MathA NormReady stall: 51971 cycles
[KDA DEBUG] SharedStorageSize = 232448 bytes (227.0 KB)
[KDA DEBUG] MaxThreadsPerBlock = 512
[PROBE] MathA NormReady stall: 45872 cycles
[PROBE] Math0/1 norm total: 45944 cycles
[PROBE] MathA NormReady stall: 54588 cycles
[PROBE] Math0/1 norm total: 46378 cycles
[PROBE] Math0/1 norm total: 45647 cycles
[PROBE] MathA NormReady stall: 56629 cycles
[PROBE] Math0/1 norm total: 46321 cycles
[PROBE] MathA NormReady stall: 55567 cycles
[PROBE] Math0/1 norm total: 45609 cycles
[PROBE] MathA NormReady stall: 57161 cycles
[PROBE] Math0/1 norm total: 43501 cycles
[PROBE] MathA NormReady stall: 53192 cycles
[PROBE] Math0/1 norm total: 46063 cycles
[PROBE] MathA NormReady stall: 55851 cycles
[PROBE] Math0/1 norm total: 42867 cycles
[PROBE] MathA NormReady stall: 52327 cycles
[KDA DEBUG] SharedStorageSize = 232448 bytes (227.0 KB)
[KDA DEBUG] MaxThreadsPerBlock = 512
[PROBE] MathA NormReady stall: 42944 cycles
[PROBE] Math0/1 norm total: 43018 cycles
[PROBE] MathA NormReady stall: 52922 cycles
[PROBE] Math0/1 norm total: 44845 cycles
[PROBE] MathA NormReady stall: 54016 cycles
[PROBE] Math0/1 norm total: 44192 cycles
[PROBE] MathA NormReady stall: 49536 cycles
[PROBE] Math0/1 norm total: 40082 cycles
[PROBE] MathA NormReady stall: 58797 cycles
[PROBE] Math0/1 norm total: 46544 cycles
[PROBE] Math0/1 norm total: 45306 cycles
[PROBE] MathA NormReady stall: 54827 cycles
[PROBE] Math0/1 norm total: 45759 cycles
[PROBE] MathA NormReady stall: 55554 cycles
[PROBE] MathA NormReady stall: 50502 cycles
[PROBE] Math0/1 norm total: 41293 cycles
[KDA DEBUG] SharedStorageSize = 232448 bytes (227.0 KB)
[KDA DEBUG] MaxThreadsPerBlock = 512
[PROBE] MathA NormReady stall: 45792 cycles
